"filename", "language", "Java", "Shell Script", "JavaScript", "HTML", "Markdown", "PostCSS", "Java Properties", "XML", "Batch", "comment", "blank", "total"
"/Users/ryllis/IdeaProjects/chat/.mvn/wrapper/maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/ryllis/IdeaProjects/chat/APIdoc.md", "Markdown", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 50, 280
"/Users/ryllis/IdeaProjects/chat/FIX_JAVA_VERSION.md", "Markdown", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 35, 106
"/Users/ryllis/IdeaProjects/chat/FIX_LOMBOK_ERROR.md", "Markdown", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 44, 140
"/Users/ryllis/IdeaProjects/chat/INSTALL_JAVA21.md", "Markdown", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 66, 191
"/Users/ryllis/IdeaProjects/chat/README_RUN.md", "Markdown", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 35, 121
"/Users/ryllis/IdeaProjects/chat/User.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 18, 37
"/Users/ryllis/IdeaProjects/chat/mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 139, 26, 25, 190
"/Users/ryllis/IdeaProjects/chat/pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 112, 0, 2, 5, 119
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/ChatApplication.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/model/Group.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/model/Message.java", "Java", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 36
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/model/User.java", "Java", 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 51
